"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Archive_DEDocTR_NBReplT.CMD","2","33133","380","2014/05/15 00:51:34","2012/09/13 22:51:36","2012/09/13 22:45:32"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Archive_DEDocTR_NBReplT_1.2.5.39791.LOG","2","33060","2036","2014/02/14 02:13:04","2012/09/13 23:07:54","2012/09/13 23:07:30"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Archive_DEDocTR_NBReplT_1.2.6.39907.LOG","2","33060","2036","2014/02/14 02:13:04","2012/09/13 23:11:49","2012/09/13 23:11:30"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Archive_DEDocTR_NBReplT_1.3.12.42727.LOG","2","33060","2039","2014/02/14 02:13:04","2012/09/17 00:47:33","2012/09/17 00:47:03"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Archive_DEDocTR_NBReplT_1.3.14.43046.LOG","2","33060","2039","2014/02/14 02:13:04","2012/09/17 00:56:43","2012/09/17 00:56:20"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Archive_DEDocTR_NBReplT_1.4.15.36008.LOG","2","33060","2039","2014/02/14 02:13:04","2012/09/17 21:02:33","2012/09/17 21:02:00"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\LEASES.TXT.lnk","2","33060","480","2014/05/31 13:00:35","2011/06/20 16:04:38","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT.sln","2","33206","1547","2014/05/31 13:00:35","2012/09/16 19:37:35","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\UNITXFER.TXT.lnk","2","33060","492","2014/05/31 13:00:35","2011/06/20 16:13:30","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\UTIL.lnk","2","33060","386","2014/05/31 13:00:35","2013/11/13 20:49:52","2013/11/13 20:49:45"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\app.config","2","33060","908","2014/05/18 19:40:57","2012/09/17 20:57:40","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\BuildHistory.LOG","2","33060","2828","2014/02/14 02:13:16","2012/09/17 21:00:17","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\NBReplT.csproj","2","33060","3531","2014/05/18 19:40:57","2012/09/16 23:14:10","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\NBReplT.csproj.user","2","33060","143","2014/02/14 02:13:16","2011/06/20 16:12:42","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\Program.cs","2","33060","32611","2014/05/31 09:07:56","2012/09/17 21:00:13","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\WW_Icon1.ico","2","33060","10134","2014/02/14 02:13:16","2012/09/13 23:09:54","2012/09/13 23:09:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\NBReplT.exe","2","33279","26624","2014/02/14 02:13:04","2012/09/17 00:53:37","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\NBReplT.exe.config","2","33206","908","2014/05/18 19:40:57","2012/09/17 20:57:40","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\NBReplT.pdb","2","33206","22016","2014/02/14 02:13:04","2012/09/17 00:53:37","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\NBReplT.vshost.exe","2","33279","11608","2014/02/14 02:12:09","2013/11/13 20:46:31","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\NBReplT.vshost.exe.config","2","33206","908","2014/05/18 19:40:57","2012/09/17 20:57:40","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.ApplicationHelpers.dll","2","33206","32768","2014/02/14 02:13:04","2012/09/13 23:10:10","2012/09/16 19:37:41"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.ApplicationHelpers.pdb","2","33206","75264","2014/02/14 02:13:04","2012/09/13 23:10:10","2012/09/16 19:37:41"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.ApplicationHelpers.xml","2","33206","143562","2014/02/14 02:13:04","2012/09/13 23:10:10","2012/09/16 19:37:41"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.ConsoleAppAids.dll","2","33206","9728","2014/02/14 02:13:04","2012/09/16 23:46:41","2012/09/16 19:37:41"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.ConsoleAppAids.pdb","2","33206","19968","2014/02/14 02:13:04","2012/09/16 23:46:41","2012/09/16 19:37:41"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.ConsoleAppAids.xml","2","33206","16781","2014/03/27 19:24:00","2012/09/16 23:46:41","2012/09/16 19:37:41"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.DateMath.dll","2","33206","30720","2014/02/14 02:13:04","2010/08/12 22:29:36","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.DateMath.pdb","2","33206","71168","2014/02/14 02:13:04","2010/08/12 22:29:34","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.DateMath.xml","2","33206","139544","2014/02/14 02:13:04","2010/08/12 22:29:34","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.SharedUtl2.dll","2","33206","82432","2014/02/14 02:13:04","2011/05/08 23:14:18","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.SharedUtl2.pdb","2","33206","181760","2014/02/14 02:13:04","2011/05/08 23:14:18","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Debug\WizardWrx.SharedUtl2.xml","2","33206","275522","2014/02/14 02:13:04","2011/05/08 23:14:18","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\NBReplT.exe","2","33279","26112","2014/02/14 02:13:04","2012/09/17 21:00:16","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\NBReplT.exe.config","2","33206","908","2014/05/18 19:40:58","2012/09/17 20:57:40","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\NBReplT.pdb","2","33206","19968","2014/02/14 02:13:04","2012/09/17 21:00:16","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\NBReplT.vshost.exe","2","33279","11608","2014/02/14 02:13:34","2013/11/13 20:41:39","2013/11/13 20:41:39"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\NBReplT.vshost.exe.config","2","33206","908","2014/05/18 19:40:58","2012/09/17 20:57:40","2013/11/13 20:41:39"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\NBReplT.vshost.exe.manifest","2","33206","490","2014/02/14 02:13:16","2010/03/17 23:39:16","2013/11/13 20:41:39"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\WizardWrx.ApplicationHelpers.dll","2","33206","32768","2014/02/14 02:13:16","2012/09/13 23:10:10","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\WizardWrx.ApplicationHelpers.pdb","2","33206","75264","2014/02/14 02:13:16","2012/09/13 23:10:10","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\WizardWrx.ApplicationHelpers.xml","2","33206","143562","2014/05/31 13:00:44","2012/09/13 23:10:10","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\WizardWrx.ConsoleAppAids.dll","2","33206","9728","2014/02/14 02:13:16","2012/09/16 23:46:41","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\WizardWrx.ConsoleAppAids.pdb","2","33206","19968","2014/02/14 02:13:16","2012/09/16 23:46:41","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\bin\Release\WizardWrx.ConsoleAppAids.xml","2","33206","16781","2014/05/31 13:00:44","2012/09/16 23:46:41","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Debug\DesignTimeResolveAssemblyReferencesInput.cache","2","33206","5887","2014/02/14 02:13:16","2012/09/17 00:53:38","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Debug\NBReplT.csproj.FileListAbsolute.txt","2","33206","3358","2014/05/16 14:33:24","2013/11/13 20:46:34","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Debug\NBReplT.exe","2","33279","26624","2014/02/14 02:13:16","2012/09/17 00:53:37","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Debug\NBReplT.pdb","2","33206","22016","2014/02/14 02:13:16","2012/09/17 00:53:37","2012/09/17 00:20:45"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Debug\ResolveAssemblyReference.cache","2","33206","16850","2014/02/14 02:13:16","2012/09/16 23:50:52","2011/06/21 08:42:54"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Release\DesignTimeResolveAssemblyReferencesInput.cache","2","33206","5891","2014/02/14 02:13:16","2012/09/17 21:00:17","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Release\NBReplT.csproj.FileListAbsolute.txt","2","33206","3034","2014/05/16 14:33:24","2013/11/13 20:41:43","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Release\NBReplT.exe","2","33279","26112","2014/02/14 02:13:16","2012/09/17 21:00:16","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Release\NBReplT.pdb","2","33206","19968","2014/02/14 02:13:16","2012/09/17 21:00:16","2012/09/13 23:05:55"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\obj\x86\Release\ResolveAssemblyReference.cache","2","33206","21630","2014/02/14 02:13:16","2012/09/17 21:00:16","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\NBReplT\Properties\AssemblyInfo.cs","2","33060","1683","2014/05/31 09:07:56","2012/09/17 21:00:13","2011/06/21 08:42:53"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\EventSourcesToRegister.TXT","2","33060","2454","2014/05/16 14:33:24","2012/09/16 21:02:36","2012/09/16 20:39:56"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\ForceDetailsView.REG","2","33060","590","2014/02/14 02:13:16","2011/06/21 20:07:38","2011/06/21 19:53:47"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\ForceDetailsView.TXT","2","33060","4615","2014/05/16 14:33:24","2011/06/21 20:16:38","2011/06/21 19:52:28"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\HKCU_Software_Microsoft_Microsoft_Windows_CurrentVersion_Explorer.REG","2","33060","11440582","2014/02/14 02:13:21","2011/06/21 20:37:48","2011/06/21 20:37:47"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\HKCU_Software_Microsoft_Microsoft_Windows_CurrentVersion_Explorer_CabinetState.REG","2","33060","482","2014/02/14 02:13:21","2011/06/21 20:44:22","2011/06/21 20:44:22"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\HKCU_Software_Microsoft_Microsoft_Windows_CurrentVersion_Explorer_StreamMRU.REG","2","33060","642","2014/02/14 02:13:21","2011/06/21 20:39:56","2011/06/21 20:39:56"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\HKCU_Software_Microsoft_Microsoft_Windows_CurrentVersion_Explorer_Streams.REG","2","33060","7124","2014/02/14 02:13:21","2011/06/21 20:40:37","2011/06/21 20:40:37"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\NotesFromTomsHardware.PDF","2","33060","254127","2014/02/14 02:13:21","2011/06/21 20:50:01","2011/06/21 20:49:56"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\RegisterEventSources.CMD","2","33133","674","2014/05/15 00:51:34","2012/09/16 21:14:43","2012/09/16 21:03:30"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\SimpleEventSourceMaint.exe","2","33133","28672","2014/02/14 02:13:21","2007/06/26 22:29:56","2012/09/16 20:45:57"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\WWSourceCodeArchiver_NBReplT_STDOUT_20110621_085223.TXT","2","33060","2154","2014/05/16 14:33:25","2011/06/21 08:52:23","2011/06/21 08:50:12"
"C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\NOLANB\NBReplT\Notes\_notes.TXT","2","33206","28022","2014/02/14 02:13:21","2012/09/17 00:44:55","2012/09/16 20:31:19"
